"Dólares",,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Fecha",
"Asia","Clasificación industrial",1812171302,2597800528,5499375874,2075992032,3314408501,4414121736,5035897148,6237201830,6190450925,5524321699,6779746848,7673981629,7559126921,8081500990,11737281650,12701851161,13545239359,8207629537,118988099670,
"Europa","Industrias Manufactureras",1103824606,1757825477,1826986819,1760555309,1583984478,2567561499,2802830984,4358922082,5841024074,5642731052,6703853230,8287398868,7872257689,10212411728,7710425374,7449759318,7650670754,5340296993,90473320334,
"Europa","Industrias Extractivas",331544,862280,1604575,2793860,1488328,3295878,704061,903487,925045,565806,5994763,8532415,2751755,2966803,9236357,10740935,9243392,3418066,66359350,
"Europa","Agricultura y Silvicultura",8234030,13060898,49573539,27902807,8265782,23687605,4087405,6401924,6952748,7715663,58028345,123010167,47900718,173863934,35703053,46289190,27868501,61188643,729734952,
"Europa","Servicios y Productos no Clasificados",114374770,27317877,9382843,4789082,12267258,30342972,40956865,21711185,47739021,62996394,60253224,95046974,140678695,142432632,171362459,147660964,129805013,93341967,1352460195,
"Europa","Ganadería, Apicultura, Caza, Pesca",1933582,1606503,1304193,215551,218,128284,100625,129051,83494,21674,19043,22341,79354,24827,5841,3503,252219,172959,6103262,
"Europa","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,364936444,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,364936444,
"Europa","Clasificación industrial",1228698532,1800673035,1888851969,1796256609,1606006064,2625016238,2848679940,4753004173,5896724382,5714030589,6828148605,8514010765,8063668211,10531699924,7926733084,7654453910,7817839879,5498418628,92992914537,
"Africa","Industrias Manufactureras",7620320,6401063,19943855,1806145,4046337,4673579,17625379,12181623,31718924,41828525,28025795,93495632,80530909,33285188,35385060,291931507,408171259,135611796,1254282896,
"Africa","Industrias Extractivas",5460,57507,703585,30285,149859,63038,23689,9562,8674,27443741,18153048,18829852,39036569,35457921,155928,95900,32200,N/D,140256818,
"Africa","Agricultura y Silvicultura",107993,422964,134506,190949,219115,1110156,902927,1196193,1389797,1305597,3872122,4441218,4196218,2280100,1189991,2141550,1621973,4219414,30942783,
"Africa","Servicios y Productos no Clasificados",31638,3281,108,6,1027427,7,N/D,11860,18363,44519,52235,105465,96744,2839209,39390,369182,565636,286422,5491492,
"Africa","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,10600,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5,N/D,10605,
"Africa","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,4016419,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4016419,
"Africa","Clasificación industrial",7765411,6884815,20782054,2027385,5442738,5857380,18551995,17415657,33135758,70622382,50103200,116872167,123860440,73862418,36770369,294538139,410391073,140117632,1435001013,
"No disponible","Industrias Manufactureras",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"No disponible","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"No disponible","Agricultura y Silvicultura",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"No disponible","Servicios y Productos no Clasificados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,611,15,736,N/D,45,1407,
"No disponible","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"No disponible","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"No disponible","Clasificación industrial",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,611,15,736,N/D,45,1407,
"Oceanía","Industrias Manufactureras",21785370,20947680,66343138,13331325,15467063,19341957,14919794,333796317,283266672,176229232,213798709,207534024,220013434,183533378,99030845,90247729,96478279,61907903,2137972849,
"Oceanía","Industrias Extractivas",N/D,N/D,17205,1,162359,217215,265806,317000,3905800,5116946,25874984,27865520,12724249,25100486,3107439,1202361,1772105,2191040,109840516,
"Oceanía","Agricultura y Silvicultura",21047160,N/D,4187335,N/D,2649939,2756042,12353204,14882958,30277721,9295770,15811713,44,26707238,32704000,17022869,8341792,164,16346104,214384053,
"Oceanía","Servicios y Productos no Clasificados",32058,492,543,2004,47,500,103,97893,2028006,32047389,17024677,6394290,921094,97800,65677,201739,377518,222049,59513879,
"Oceanía","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,1959550,2735970,988003,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5683523,
"Oceanía","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,40492634,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40492634,
"Oceanía","Clasificación industrial",42864588,20948172,70548221,13333330,18279408,22315714,29498457,392322772,320466202,222689337,272510083,241793878,260366015,241435664,119226830,99993621,98628066,80667096,2567887454,
"América del Norte","Industrias Manufactureras",11951911374,11708110870,8631881788,9204215997,12512399023,12652159903,14602540065,17638349915,20564296178,14792902303,18958017164,24496179797,24836901846,25757518196,25626108680,24350499453,24973372776,15762815899,319020181227,
"América del Norte","Industrias Extractivas",23813635,23415493,19052960,25892714,12649316,31990278,35946846,44186581,28058089,19270153,24405503,37855802,69469217,47390448,175791992,96535981,64608027,20950405,801283440,
"América del Norte","Agricultura y Silvicultura",300565575,372195095,373458390,410608995,321598308,507080198,531613075,1046761775,1586898021,1166110645,1460870394,1917073564,1833654888,1465038991,602158821,578263264,639625359,523552001,15637127359,
"América del Norte","Servicios y Productos no Clasificados",181854664,32313919,4237185,7546221,34457222,66547828,15749079,59816550,132741407,126887868,161363858,249060763,402951585,424022611,303086216,418838273,436630652,282028111,3340134012,
"América del Norte","Ganadería, Apicultura, Caza, Pesca",3037184,4386453,4089706,5101678,304329,3125765,2978597,2635311,4268331,7346219,10416135,6336941,2816172,5257927,8250,12932,350731,112746,62585407,
"América del Norte","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,1592409045,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1592409045,
"América del Norte","Clasificación industrial",12461182432,12140421830,9032720029,9653365605,12881408198,13260903972,15188827662,20384159177,22316262026,16112517188,20615073054,26706506867,27145793708,27699228173,26707153959,25444149903,26114587545,16589459162,340453720490,
"Paises no declarados","Industrias Manufactureras",4652840,6918066,1865547,4440748,27238,121497,67986,327944,819895,37374,255482,721615,46486,61679,10219,67579,4767,1340,20448302,
"Paises no declarados","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Paises no declarados","Agricultura y Silvicultura",66191,27859,40568,188332,N/D,N/D,N/D,N/D,N/D,N/D,86391,N/D,N/D,N/D,N/D,N/D,N/D,N/D,409341,
"Paises no declarados","Servicios y Productos no Clasificados",N/D,N/D,57,5,N/D,N/D,N/D,N/D,2659805,N/D,2340713,2465802,N/D,3350795,110,1558,277,N/D,10819122,
"Paises no declarados","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Paises no declarados","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Paises no declarados","Clasificación industrial",4719031,6945925,1906172,4629085,27238,121497,67986,327944,3479700,37374,2682586,3187417,46486,3412474,10329,69137,5044,1340,31676765,
"-","Industrias Manufactureras",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,13239,N/D,13239,
"-","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"-","Agricultura y Silvicultura",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"-","Servicios y Productos no Clasificados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"-","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"-","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"-","Clasificación industrial",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,13239,N/D,13239,
"JEY","Industrias Manufactureras",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,37,37,
"JEY","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"JEY","Agricultura y Silvicultura",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"JEY","Servicios y Productos no Clasificados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50,1,51,
"JEY","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"JEY","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"JEY","Clasificación industrial",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50,38,88,
"BLM","Industrias Manufactureras",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"BLM","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"BLM","Agricultura y Silvicultura",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"BLM","Servicios y Productos no Clasificados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4,4,
"BLM","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"BLM","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"BLM","Clasificación industrial",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4,4,
"GGY","Industrias Manufactureras",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1936,1936,
"GGY","Industrias Extractivas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"GGY","Agricultura y Silvicultura",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"GGY","Servicios y Productos no Clasificados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"GGY","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"GGY","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"GGY","Clasificación industrial",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1936,1936,
"País vendedor","País vendedor",16148697762,17217438456,17684090778,14160304252,18741914695,21465347415,24270984158,33937680131,37197530732,29972039147,37119768695,46079151939,46037362203,49957928484,48870004897,48219819731,50069560609,31936461890,589086085974,
