"Trabajadores Asegurados",,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Periodo",
"Industria de la construcción","Trabajadores permanentes",22993,23945,25868,30545,34033,37020,45612,51878,50594,49267,55281,55403,59624,64041,69969,78436,87051,94534,94534,
"Industria de la construcción","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industria eléctrica, captación y suministro de agua potable","Trabajadores Asegurados",7333,7640,7506,7814,7962,8390,8293,8376,8854,9024,9311,9191,9246,9369,9548,9329,9329,9168,9168,
"Industria eléctrica, captación y suministro de agua potable","Trabajadores eventuales urbanos",1136,1154,1244,1411,1336,1485,1660,1577,1643,1769,1994,1876,1869,1940,1977,1743,1813,1510,1510,
"Industria eléctrica, captación y suministro de agua potable","Trabajadores eventuales del campo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Industria eléctrica, captación y suministro de agua potable","Trabajadores permanentes",6197,6486,6262,6403,6626,6905,6633,6799,7211,7255,7317,7315,7377,7429,7571,7586,7516,7658,7658,
"Industria eléctrica, captación y suministro de agua potable","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias de transformación","Trabajadores Asegurados",340488,308690,299148,289352,298909,302543,313294,320072,311234,305091,323434,330689,338376,347298,363344,385457,407270,434854,434854,
"Industrias de transformación","Trabajadores eventuales urbanos",16652,13389,14410,15301,19568,22101,22217,24126,28091,34652,39160,40783,44447,43437,47397,54531,61341,70380,70380,
"Industrias de transformación","Trabajadores eventuales del campo",0,0,0,0,0,0,0,0,0,14,13,15,16,15,11,25,0,563,563,
"Industrias de transformación","Trabajadores permanentes",323836,295301,284738,274051,279341,280442,291077,295946,283143,270425,284261,289891,293913,303846,315936,330901,345929,363911,363911,
"Industrias de transformación","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias extractivas","Trabajadores Asegurados",1908,1732,1721,1728,1535,1657,1783,2219,2165,2085,2166,2828,2958,3034,2860,2875,3040,3388,3388,
"Industrias extractivas","Trabajadores eventuales urbanos",91,75,114,114,151,129,98,132,141,173,195,261,399,314,321,345,530,609,609,
"Industrias extractivas","Trabajadores eventuales del campo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Industrias extractivas","Trabajadores permanentes",1817,1657,1607,1614,1384,1528,1685,2087,2024,1912,1971,2567,2559,2720,2539,2530,2510,2779,2779,
"Industrias extractivas","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Servicios","Trabajadores Asegurados",353145,356553,375061,383318,391805,405775,425335,445658,458010,470298,480627,496044,502496,523456,540644,551836,575641,598510,598510,
"Servicios","Trabajadores eventuales urbanos",25004,19945,24555,23640,22444,22358,21909,23031,22647,23589,27713,29708,30844,34738,37767,39846,43290,48292,48292,
"Servicios","Trabajadores eventuales del campo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Servicios","Trabajadores permanentes",328141,336608,350506,359678,369361,383417,403426,422627,435363,446709,452914,466336,471652,488718,502877,511990,532351,550218,550218,
"Servicios","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Transportes y comunicaciones","Trabajadores Asegurados",48835,51521,51397,51012,51389,53029,54336,57033,57078,55965,57424,58951,61629,62952,66390,70979,74255,77218,77218,
"Transportes y comunicaciones","Trabajadores eventuales urbanos",1760,2114,1894,2014,1824,1814,2153,2236,2805,3024,3374,4372,6151,5513,5340,6077,6841,7240,7240,
"Transportes y comunicaciones","Trabajadores eventuales del campo",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Transportes y comunicaciones","Trabajadores permanentes",47075,49407,49503,48998,49563,51215,52183,54797,54273,52941,54050,54579,55478,57439,61050,64902,67414,69978,69978,
"Transportes y comunicaciones","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"División Económica","División Económica",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
