Pais_vendedor,industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
Africa,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,10000,600,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Africa,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4016419,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Africa,Clasificación industrial,210445,35820,20254,419973,851570,389511,3191033,527077,486844,266896,300750,1065239,6471,41649,1059990,2533674,558738,1638232,76565,262606,161426,57814,454956,32696,694514,1273510,1714687,3354686,1482268,3498898,2434255,2846823,2300544,435801,95027,651048,101496,174074,261866,214013,215837,358316,231300,132081,61741,34785,15368,226513,149302,296454,1527,82254,186309,75610,1067425,621630,230618,188888,2079193,463531,405118,205794,803212,275704,621045,1003512,649222,194650,252250,381574,519998,545314,971748,922217,2080510,1204966,2106709,2320311,984805,1538180,1996629,2107539,1121309,1197077,1899841,947141,1250300,4016419,2733926,872146,1022576,874661,971669,1070838,843450,912690,2180571,2168626,2822313,2348324,5485277,3497149,1833916,1679538,2663528,3965574,2944532,1546419,1521964,8818565,5042195,1446384,7099215,2984272,2988771,8282382,8587878,3082922,6467945,14299895,1429302,3309960,8609415,2090212,5346966,1892791,2606541,8681765,2176418,2035413,1332274,10592151,6664207,9198517,5737359,27354299,5800224,1811177,1456752,9333399,15576100,9893698,11095453,12950989,18446634,18345416,12323980,10688830,13842065,8156313,15555984,3713587,10570812,6720050,2698123,2798654,2178049,12137633,9517571,4213694,6850278,1968810,3313714,3248025,8517341,14827021,2871322,4218973,2308581,1860613,2839652,4388759,5518045,2717914,3418364,2484938,2678903,2708306,2788771,3057532,4756290,8914933,11920738,17161332,15442851,20663446,23146228,37508526,28159943,45898088,31439166,49526613,35397288,20957839,30189962,51588850,28096299,37275403,38687236,26347551,29233780,41540063,45061261,26015547,32418044,21853676,21805029,16698104,15225184,14333105,17784485
No disponible,Industrias Manufactureras,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
No disponible,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
No disponible,Agricultura y Silvicultura,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
No disponible,Servicios y Productos no Clasificados,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,611,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,15,455,14,N/D,N/D,11,5,10,235,1,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,45,N/D
No disponible,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
No disponible,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
No disponible,Clasificación industrial,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,611,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,15,455,14,N/D,N/D,11,5,10,235,1,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,45,N/D
Oceanía,Industrias Manufactureras,1102824,409734,6504327,793926,1122204,791292,2068135,2311824,1162283,1365073,695822,3457924,839082,1303861,1619050,2603949,1019480,1013134,7727717,704293,1288073,811492,1089615,927932,10011128,821196,5799679,10347274,17701102,9043906,5428537,1007987,350268,583589,331666,4916808,2770680,2622595,908781,311948,205257,126293,249601,690896,1131816,3463362,333060,517043,4679268,3167466,1475479,734616,404491,637825,1050058,257009,719142,371152,686080,1284478,1208057,1175773,522545,2001729,1145198,1083498,991237,1337326,1171095,4647583,2542179,1515745,878413,1008228,998558,571160,1014365,864133,886987,664604,1416682,2804649,2239996,1572015,31922491,52744252,36763502,N/D,17760928,33619266,15720588,39170180,18700485,19761326,30781633,36851679,26249873,24029992,8458553,34446730,13965550,17689813,14040960,21855015,22954864,20127711,54447271,25000341,6990912,6912163,37915669,17450412,8446145,12891239,16146207,6938216,11546051,20586873,16550969,13854384,17741271,20020677,25861056,18531923,10435874,17653465,21493715,25611745,10432628,18330276,15236511,12449586,13109001,18622717,35242226,17364407,10569053,25335779,17361365,16687152,11131065,11192426,17237956,13680896,15222252,21370773,20131333,20825701,22605291,16149917,18801754,22207007,13470299,11219416,21017539,16992157,15471101,20653618,13410673,9916877,20033682,13621352,20377852,11864067,11847405,8311272,16373436,21652045,9731969,9211839,8640624,6798854,6667186,11967677,11899613,8095622,6585954,6662723,6160975,6607813,3167485,7811970,12125750,10893982,10007212,11769401,7745566,6747282,3696899,4315856,4463877,7502464,5479656,7778160,11273057,6573144,6746506,6940414,9411789,5839446,5317112,9780717,9550167,11788121,10008775,7876610,9142218,9884360,9294484,8989853,6711600
Oceanía,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2073,N/D,N/D,N/D,N/D,7700,20,N/D,7412,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1,N/D,N/D,N/D,N/D,N/D,N/D,16071,15750,6333,19227,6338,15266,15961,15805,30005,N/D,21603,N/D,14735,15339,14866,11946,N/D,14778,22834,23726,38154,N/D,39361,21476,20898,21415,21420,64482,75255,21496,20542,20298,N/D,N/D,N/D,N/D,19156,23423,24329,N/D,47115,25595,25206,52008,25886,24037,24034,26211,46594,50404,270231,431175,658090,534571,197835,N/D,795893,670782,250225,N/D,624361,522051,41870,553651,785595,N/D,36939,420220,35708,1636218,387771,72563,1157807,400595,37258,235727,2819919,5577003,108212,631294,8521781,5532153,445266,407971,309848,3737744,413428,8621861,477991,555363,5351445,5671217,790267,464003,1472354,N/D,822894,3074851,860131,86991,66175,65166,N/D,66342,7593507,N/D,88192,N/D,1062544,8600986,N/D,N/D,3927104,N/D,384671,N/D,5702928,114211,5308042,1,N/D,N/D,244248,490792,275823,693826,490655,N/D,N/D,320997,347668,243433,339621,241574,N/D,379254,N/D,107005,134895,1,N/D,N/D,N/D,10,N/D,N/D,41900,86208,42997,N/D,388167,532874,N/D,333367,304253,42338,N/D,385550,393614,462834,452665,496376,N/D
Oceanía,Agricultura y Silvicultura,6851561,N/D,7177500,7018099,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,502500,2812778,268000,604057,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,917763,N/D,N/D,N/D,N/D,1592928,N/D,N/D,N/D,139248,N/D,N/D,N/D,N/D,N/D,2275211,N/D,397020,20587,N/D,33012,30212,N/D,6237974,N/D,N/D,N/D,N/D,1535122,2947010,772000,772000,14763,74335,N/D,6385042,44475,N/D,N/D,N/D,N/D,N/D,N/D,5441,8448000,N/D,N/D,N/D,10457579,N/D,N/D,8728831,N/D,N/D,3484983,1710528,5895800,N/D,N/D,N/D,N/D,N/D,N/D,N/D,9211711,59,N/D,84000,N/D,N/D,N/D,7649262,N/D,N/D,72751,8002500,N/D,N/D,N/D,N/D,87200,N/D,N/D,N/D,N/D,44,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,6754000,N/D,16610,N/D,N/D,70628,9867000,N/D,N/D,N/D,9999000,N/D,40,10,10734879,N/D,N/D,N/D,11582805,N/D,N/D,10386266,N/D,N/D,N/D,N/D,1,8511927,N/D,N/D,N/D,N/D,8510941,N/D,N/D,N/D,N/D,N/D,8341792,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,12,N/D,N/D,N/D,N/D,152,N/D,N/D,N/D,8926500,N/D,N/D,7419604,N/D
Oceanía,Servicios y Productos no Clasificados,N/D,5,75,N/D,N/D,251,7600,122,24000,N/D,5,N/D,N/D,11,N/D,N/D,12,25,86,162,29,76,53,39,45,14,N/D,N/D,26,426,7,N/D,3,22,N/D,1,1575,N/D,N/D,12,16,N/D,50,N/D,9,21,285,36,20,N/D,N/D,13,3,4,N/D,1,N/D,N/D,N/D,6,6,1,N/D,403,N/D,N/D,N/D,42,48,N/D,N/D,N/D,N/D,1,6,N/D,2,N/D,1,20,20,3,50,N/D,8,287,37,N/D,172,131,24,32,4,191,N/D,97005,160414,91,4,584177,324074,324300,211480,210000,52,210926,2088,400,111,175,6183725,99097,4273878,60790,6584029,210782,8065133,6337949,116179,115544,5403669,6619553,347975,770368,1313992,291654,650909,383868,542491,139650,170011,390537,146269,441098,217351,634306,277359,716068,627721,1160515,786225,397604,6736,983039,289600,325800,N/D,N/D,51180,1382,167952,10647,26963,24730,11551,11289,5860,12005,8712,7800,14897,13462,7196,14884,9762,3221,N/D,N/D,1828,1519,2912,2033,2886,4715,3211,15539,4521,3603,8608,14301,12016,58199,12794,9637,8006,13478,8052,8800,7561,14049,18150,31000,27431,26684,28197,25751,17416,24209,10518,24748,137194,8654,27861,18854,14080,65953,7746,90462,11397,16673,15735
