"Trabajadores Asegurados",,"2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Fecha",
"Industria eléctrica, captación y suministro de agua potable","Entre 501 y 1000 asegurados",782,1290,1484,1642,1640,3176,3692,3183,3230,2186,2218,1209,1209,
"Industria eléctrica, captación y suministro de agua potable","Entre 51 y 250 asegurados",1780,1704,1851,1800,1427,1454,1677,1657,2383,2126,2165,2184,2184,
"Industria eléctrica, captación y suministro de agua potable","Entre 6 y 50 asegurados",253,236,245,234,359,324,314,320,249,393,385,551,551,
"Industria eléctrica, captación y suministro de agua potable","Más de 1000 asegurados",4260,3902,4015,4022,4012,1997,2057,1975,2000,1993,1969,2939,2939,
"Industria eléctrica, captación y suministro de agua potable","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industria eléctrica, captación y suministro de agua potable","Tamaño de empresa",8293,8376,8854,9024,9311,9191,9246,9369,9548,9329,9329,9168,9168,
"Industrias de transformación","1 asegurado",2782,2773,2854,2738,2698,2643,2594,2524,2528,2575,2764,2868,2868,
"Industrias de transformación","Entre 2 y 5 asegurados",16119,16030,15715,15376,15434,15374,15306,15150,15320,15684,15926,16174,16174,
"Industrias de transformación","Entre 251 y 500 asegurados",37249,38678,40045,42046,41206,43716,44710,45076,47261,47002,51021,49246,49246,
"Industrias de transformación","Entre 501 y 1000 asegurados",35383,38221,37502,36776,43168,44785,41080,44615,50906,60291,62936,63578,63578,
"Industrias de transformación","Entre 51 y 250 asegurados",77211,79628,77801,78183,82339,85427,85128,86901,86532,92880,96473,100045,100045,
"Industrias de transformación","Entre 6 y 50 asegurados",73796,74454,72943,69807,71247,72053,74441,75026,77907,79376,81898,84859,84859,
"Industrias de transformación","Más de 1000 asegurados",70749,70288,64374,60165,67342,66691,75117,78006,82890,87649,96252,118084,118084,
"Industrias de transformación","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias de transformación","Tamaño de empresa",313289,320072,311234,305091,323434,330689,338376,347298,363344,385457,407270,434854,434854,
"Industrias extractivas","1 asegurado",18,15,19,14,15,13,14,22,13,18,15,15,15,
"Industrias extractivas","Entre 2 y 5 asegurados",138,140,156,121,124,154,165,124,152,111,124,124,124,
"Industrias extractivas","Entre 251 y 500 asegurados",282,N/D,N/D,N/D,N/D,N/D,263,545,729,742,756,753,753,
"Industrias extractivas","Entre 501 y 1000 asegurados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias extractivas","Entre 51 y 250 asegurados",408,978,856,907,1004,1494,1415,1343,1005,820,1151,1649,1649,
"Industrias extractivas","Entre 6 y 50 asegurados",937,1086,1134,1043,1023,1167,1101,1000,961,1184,994,847,847,
"Industrias extractivas","Más de 1000 asegurados",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias extractivas","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industrias extractivas","Tamaño de empresa",1783,2219,2165,2085,2166,2828,2958,3034,2860,2875,3040,3388,3388,
"Servicios","1 asegurado",6114,6294,6435,6533,6531,6526,6685,6535,6740,6985,7145,7549,7549,
"Servicios","Entre 2 y 5 asegurados",26063,26519,26695,27056,27804,28656,29914,30535,30845,32045,32870,33704,33704,
"Servicios","Entre 251 y 500 asegurados",37187,41578,44257,44297,44617,45303,51764,52858,50848,51731,55429,60850,60850,
"Servicios","Entre 501 y 1000 asegurados",35033,33570,38206,37644,43364,41989,43413,43534,44964,48709,57216,57582,57582,
"Servicios","Entre 51 y 250 asegurados",86929,89841,89193,91105,94325,99479,99460,109154,114969,123402,121484,121636,121636,
"Servicios","Entre 6 y 50 asegurados",81538,83301,88169,88747,91752,94518,98097,100491,103471,105320,111528,114487,114487,
"Servicios","Más de 1000 asegurados",149256,161355,161843,171769,169071,176371,170001,177256,185767,180516,186769,199502,199502,
"Servicios","No Aplica Tamaño",3217,3200,3212,3147,3163,3202,3162,3093,3040,3128,3200,3200,3200,
"Servicios","Tamaño de empresa",425337,445658,458010,470298,480627,496044,502496,523456,540644,551836,575641,598510,598510,
"Transportes y comunicaciones","1 asegurado",1358,1369,1353,1270,1244,1243,1299,1332,1411,1515,1599,1651,1651,
"Transportes y comunicaciones","Entre 2 y 5 asegurados",8343,8429,8456,8043,7944,7903,7999,8085,8387,8506,8492,8321,8321,
"Transportes y comunicaciones","Entre 251 y 500 asegurados",4325,5190,5768,5037,5031,5253,5034,5762,6875,8462,8383,9173,9173,
"Transportes y comunicaciones","Entre 501 y 1000 asegurados",5604,5430,5197,4213,3433,3294,4598,5235,5025,4220,6154,5965,5965,
"Transportes y comunicaciones","Entre 51 y 250 asegurados",14923,16195,15766,15937,16766,17114,17836,18254,20093,21075,21762,22840,22840,
"Transportes y comunicaciones","Entre 6 y 50 asegurados",16036,16521,16495,16299,16702,17363,18171,18316,18787,19362,20544,20898,20898,
"Transportes y comunicaciones","Más de 1000 asegurados",3745,3899,4043,5166,6304,6781,6692,5968,5812,7839,7321,8370,8370,
"Transportes y comunicaciones","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Transportes y comunicaciones","Tamaño de empresa",54334,57033,57078,55965,57424,58951,61629,62952,66390,70979,74255,77218,77218,
"División económica","División económica",1147143,1194386,1204590,1208019,1263487,1308282,1349657,1397248,1463340,1535255,1624237,1694618,1694618,
